Match_ID,Date,Player_1,Player_2,Time_Since_Last_Advantage,Matches_Last_24H_Advantage,Is_First_Match_Advantage,H2H_P1_Win_Rate,H2H_Dominance_Score,Win_Rate_Advantage,Win_Rate_L5_Advantage,PDR_Advantage,PDR_Slope_Advantage,Daily_Fatigue_Advantage,Close_Set_Win_Rate_Advantage,Bet_On_Player,Outcome,Profit,Stake,Model_Prob,Market_Odds,Edge
10283941,2025-07-15,Radek Golis,Miroslav Tuma,0.0,1,0,0.6666666666666666,11.018624530389795,-0.04999999999999993,0.4,0.0256280756280756,0.0,78,-0.061594202898550776,Radek Golis,Win,0.4589352077308273,0.7462361101314265,0.6760291278923626,1.615,0.09178704154616546
10288640,2025-07-15,Ladislav Novotny,Josef Palecek,0.0,0,0,0.3333333333333333,-1.863482460231002,-0.15000000000000002,-0.2,-0.0292307345909478,0.0,10,-0.06666666666666665,Josef Palecek,Win,1.9143291543694252,3.3525904629937395,0.6974643270009365,1.571,0.09571645771847126
10283458,2025-07-15,BA Hoang Tai Nguyen,Vaclav Dolezal,-48.0,0,0,0.5,0.0,-0.09999999999999998,-0.20000000000000007,-0.0273375248934416,0.0,-44,0.007518796992481258,Vaclav Dolezal,Win,1.8546237672364232,2.226439096322237,0.5961435833943378,1.833,0.09273118836182115
10282912,2025-07-15,Jan Sucharda,Adam Brazda,24.0,-1,1,0.5,0.0,-0.050000000000000044,-0.2,0.0034017819725598,0.0,47,0.10714285714285715,Jan Sucharda,Loss,-0.713729553586942,0.713729553586942,0.42849727381159225,3.0,0.2854918214347768
10282911,2025-07-15,Sebastian Kasnik,Jan Sucharda,0.0,2,0,0.8,20.281967075263434,0.30000000000000004,0.6000000000000001,0.0389451224203046,-0.0031065894144784445,122,0.210727969348659,Sebastian Kasnik,Win,6.01230680132363,12.02461360264726,0.8670768933774543,1.5,0.3006153400661815
10282907,2025-07-15,Miroslav Tuma,Pavel Sprynar,0.0,-1,0,0.5769230769230769,18.164298605553682,0.0,-0.2,0.0130691732447029,-0.007379734182071,-364,0.06166666666666665,Miroslav Tuma,Win,0.7057424233761989,1.4114848467523977,0.6901914141125399,1.5,0.03528712116880994
10282904,2025-07-15,Tomas Janata,Jakub Tazler,0.0,-1,0,0.75,0.6171907153082992,0.04999999999999999,0.19999999999999996,0.0001166207294769,-0.0009775932839424795,74,0.15517241379310343,Tomas Janata,Loss,-2.673613164102283,2.673613164102283,0.5874885899991874,1.909,0.12151571830844876
10282765,2025-07-15,Jiri Dedek,Mihail Trinta,-24.0,1,-1,0.7692307692307693,79.84754761945707,0.5,0.8,0.0518784561064902,0.0,-16,0.3723196881091618,Jiri Dedek,Win,0.014564865169752752,0.08774015162501661,0.8582574985064216,1.166,0.0007282432584876375
10282764,2025-07-15,Michal Vedmoch,Tomas Barta,0.0,1,0,0.375,-16.378364811586955,0.10000000000000003,-0.8,-0.0294701381453529,0.0,259,0.07692307692307693,Tomas Barta,Win,0.09781469584757785,0.1956293916951557,0.6797086261130104,1.5,0.01956293916951557
10282763,2025-07-15,Mihail Trinta,Lukas Babicka,-96.0,1,-1,0.0,-1.144694133712751,-0.10000000000000003,-0.4,-0.0583754973188029,0.0027994987831411744,-264,-0.13037037037037036,Lukas Babicka,Win,10.315885332712565,16.77379728896352,0.9385723013223705,1.615,0.5157942666356283
