end_idx,end_date,brier_score,calibration_error,window_win_rate,window_expected
200,2025-07-20,0.2623244635899581,-0.11002259054826669,0.625,0.7350225905482667
201,2025-07-20,0.262173198625573,-0.11027584206692675,0.625,0.7352758420669268
202,2025-07-20,0.26217320985088594,-0.11027569625820288,0.625,0.7352756962582029
203,2025-07-20,0.2642641923627845,-0.11645473922977545,0.62,0.7364547392297754
204,2025-07-20,0.2686052140277711,-0.12249639081597541,0.615,0.7374963908159754
205,2025-07-20,0.27227083598964974,-0.129594207122389,0.61,0.739594207122389
206,2025-07-20,0.2728324754874167,-0.13462982603344364,0.605,0.7396298260334436
207,2025-07-20,0.27308217684976194,-0.1336759719786893,0.605,0.7386759719786893
208,2025-07-20,0.27228380752856096,-0.1275800068394486,0.61,0.7375800068394486
209,2025-07-20,0.27109208589041073,-0.12894823877221318,0.61,0.7389482387722132
210,2025-07-20,0.26721269113075247,-0.12208741320512873,0.615,0.7370874132051287
211,2025-07-20,0.2677288617439613,-0.12132515639883734,0.615,0.7363251563988373
212,2025-07-20,0.26772676036012105,-0.12135666226787722,0.615,0.7363566622678772
213,2025-07-20,0.26505051658570655,-0.11701339926313037,0.62,0.7370133992631304
214,2025-07-20,0.26293086534449017,-0.11029637719313856,0.625,0.7352963771931386
215,2025-07-20,0.2613076540513501,-0.1089159004784479,0.625,0.7339159004784479
216,2025-07-20,0.2634083925659832,-0.11231510095385477,0.62,0.7323151009538548
217,2025-07-20,0.2669804990994173,-0.1183165128265441,0.615,0.7333165128265441
218,2025-07-20,0.2676783597214589,-0.12308657720576521,0.61,0.7330865772057652
219,2025-07-20,0.2667641251714395,-0.12080597823227868,0.615,0.7358059782322787
220,2025-07-20,0.2692519675477229,-0.12620713043828857,0.61,0.7362071304382886
221,2025-07-20,0.2696004613344528,-0.12539384788949437,0.61,0.7353938478894944
222,2025-07-20,0.2697815949237852,-0.12491599334664305,0.61,0.734915993346643
223,2025-07-21,0.26950547208670383,-0.12542930963726773,0.61,0.7354293096372677
224,2025-07-21,0.26987645875330474,-0.12434028646841,0.61,0.73434028646841
225,2025-07-21,0.27011066130757583,-0.12381451920642295,0.61,0.7338145192064229
226,2025-07-21,0.2709169831098639,-0.12436680599543748,0.61,0.7343668059954375
227,2025-07-21,0.27006789640623496,-0.11933576863239581,0.615,0.7343357686323958
228,2025-07-21,0.27233254656153333,-0.12130127506051835,0.615,0.7363012750605183
229,2025-07-21,0.26770351588506847,-0.11585108064438432,0.62,0.7358510806443843
230,2025-07-21,0.2683132881088963,-0.11502426623966444,0.62,0.7350242662396644
231,2025-07-21,0.2671169489109383,-0.11646652219882003,0.62,0.73646652219882
232,2025-07-21,0.26732294133212725,-0.11559245142913255,0.62,0.7355924514291325
233,2025-07-21,0.26799397183164275,-0.11468167312649757,0.62,0.7346816731264976
234,2025-07-21,0.2644124556088028,-0.10781336582471679,0.625,0.7328133658247168
235,2025-07-21,0.26174894724322484,-0.10265509765820469,0.63,0.7326550976582047
236,2025-07-21,0.2623050245976919,-0.10184359183084946,0.63,0.7318435918308495
237,2025-07-21,0.26201053582430256,-0.10288856118090961,0.63,0.7328885611809096
238,2025-07-21,0.262085575495039,-0.10276950190649359,0.63,0.7327695019064936
239,2025-07-21,0.2576998571011099,-0.09679964520768125,0.635,0.7317996452076813
240,2025-07-21,0.26130786747516876,-0.10245230422761187,0.63,0.7324523042276119
241,2025-07-21,0.258451200634925,-0.09730474273555034,0.635,0.7323047427355504
242,2025-07-21,0.2584628287812685,-0.09718284257556342,0.635,0.7321828425755634
243,2025-07-21,0.25846346430107003,-0.09717295263870396,0.635,0.732172952638704
244,2025-07-21,0.2606721475447934,-0.09853476209929457,0.635,0.7335347620992946
245,2025-07-21,0.2588506805287677,-0.09319042931224886,0.64,0.7331904293122489
246,2025-07-21,0.25888050308642,-0.09313600648055365,0.64,0.7331360064805537
247,2025-07-21,0.2584322770349328,-0.0928254202967923,0.64,0.7328254202967923
248,2025-07-21,0.25892271579624215,-0.09317986353135432,0.64,0.7331798635313543
249,2025-07-21,0.2587865202633262,-0.09343773888258988,0.64,0.7334377388825899
250,2025-07-21,0.2589936412137363,-0.09309498847219377,0.64,0.7330949884721938
251,2025-07-21,0.2611814117244884,-0.0975908782699082,0.635,0.7325908782699082
252,2025-07-21,0.2626395226927624,-0.10297020821293013,0.63,0.7329702082129301
253,2025-07-21,0.2611505690560702,-0.10192560380256566,0.63,0.7319256038025657
254,2025-07-21,0.2615668082958106,-0.10225638478345178,0.63,0.7322563847834518
255,2025-07-21,0.26141981140443926,-0.10265382567619963,0.63,0.7326538256761996
256,2025-07-21,0.26260938767174524,-0.10640927227720487,0.625,0.7314092722772049
257,2025-07-21,0.26494157739686985,-0.1099678687516783,0.62,0.7299678687516783
258,2025-07-21,0.2653473188921036,-0.10872399948098321,0.62,0.7287239994809832
259,2025-07-21,0.2653437162116547,-0.10877458341283952,0.62,0.7287745834128395
260,2025-07-21,0.2675936770179566,-0.11431560947489172,0.615,0.7293156094748917
261,2025-07-21,0.2674169233187483,-0.11456344665128004,0.615,0.72956344665128
262,2025-07-21,0.2709993939898492,-0.12091540981842797,0.61,0.730915409818428
263,2025-07-22,0.26828876426563225,-0.11706559911357117,0.615,0.7320655991135712
264,2025-07-22,0.2686658341276997,-0.1164392780554192,0.615,0.7314392780554192
265,2025-07-22,0.2710083298136962,-0.12003702225001034,0.61,0.7300370222500103
266,2025-07-22,0.2709530936367577,-0.12016361923032393,0.61,0.7301636192303239
