experience_level,min_matches_range,n_bets,win_rate,model_expected,miscalibration_pp
Novice,0-10,22,0.7272727272727273,0.9580538818061886,23.078115453346125
Developing,10-20,48,0.7083333333333334,0.9582406373365583,24.99073040032249
Established,20-50,139,0.6618705035971223,0.9529977040708522,29.112720047372985
Veteran,50-100,185,0.6594594594594595,0.9348515889862163,27.539212952675683
Expert,100-999,1008,0.6785714285714286,0.9050738156378044,22.65023870663758
