category,n_bets,pct_of_bets,empirical_win_rate,avg_model_prob,calibration_error,roi,is_miscalibrated
h2h_moderate (35-65%),2254,49.98891106675538,0.5425909494232476,0.6496419422954,-0.10705099287215236,-0.01158027947534361,True
h2h_high (65-99%),686,15.2140164116212,0.5903790087463557,0.7205436863105464,-0.1301646775641907,-0.0002776944000747205,True
h2h_low (1-35%),627,13.905522288755822,0.6028708133971292,0.7366687232548559,-0.13379790985772666,-0.020534537201324587,True
h2h_100pct,509,11.288534043025061,0.7033398821218074,0.9532466280671894,-0.24990674594538198,0.03651768604893678,True
h2h_0pct,433,9.603016189842537,0.6766743648960739,0.952279406568715,-0.2756050416726411,0.07419619417579619,True
